City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
Syracuse,37.0881,15.2792,58.37,broken clouds,50,65,6.71,IT
Sand,50.0,10.6,51.85,broken clouds,94,79,3.69,DE
Tocopilla,-22.092,-70.1979,64.94,few clouds,65,20,10.94,CL
Ponta Do Sol,32.6667,-17.1,73.0,light rain,88,44,6.02,PT
Sorong,-0.8833,131.25,79.43,overcast clouds,87,93,7.74,ID
Peleduy,59.6289,112.7406,29.52,light snow,94,100,9.89,RU
Tougan,13.0667,-3.0667,84.87,broken clouds,23,69,6.08,BF
Sao Felix Do Xingu,-6.6447,-51.995,73.69,overcast clouds,97,100,3.11,BR
Sorland,67.667,12.6934,44.46,overcast clouds,64,100,0.2,NO
Manokwari,-0.8667,134.0833,79.68,overcast clouds,81,100,3.62,ID
Koumra,8.9126,17.5539,74.53,broken clouds,50,84,2.46,TD
Shubarkuduk,49.1447,56.4872,40.32,overcast clouds,79,100,18.03,KZ
Sungairaya,0.7,108.9,76.1,moderate rain,92,100,4.45,ID
Constitucion,-35.3333,-72.4167,56.86,broken clouds,88,78,6.02,CL
Goure,13.9835,10.2704,79.54,few clouds,23,11,7.16,NE
Vila Velha,-20.3297,-40.2925,71.94,overcast clouds,96,100,3.44,BR
Lorengau,-2.0226,147.2712,84.07,overcast clouds,67,100,4.61,PG
Faya,18.3851,42.4509,59.52,few clouds,72,22,3.98,SA
Nanortalik,60.1432,-45.2371,33.67,clear sky,76,1,4.79,GL
Juegang,32.3174,121.1855,59.99,overcast clouds,70,100,8.99,CN
Fethiye,36.6217,29.1164,57.07,clear sky,50,0,4.18,TR
Loreto,22.2667,-101.9667,77.63,clear sky,27,7,7.65,MX
Aketi,2.7388,23.7833,70.56,light rain,100,100,0.89,CD
Ixtapa,20.7,-105.2,84.22,scattered clouds,74,40,9.22,MX
Norman Wells,65.282,-126.8329,18.41,overcast clouds,79,85,0.78,CA
Broome,42.2506,-75.833,67.06,clear sky,81,0,4.61,US
Xichang,27.8964,102.2634,61.14,broken clouds,97,82,2.53,CN
Placerville,38.7296,-120.7986,69.76,clear sky,30,0,8.05,US
Lavrentiya,65.5833,-171.0,26.64,overcast clouds,77,95,13.98,RU
Tooele,40.5308,-112.2983,51.3,broken clouds,50,75,6.91,US
Cockburn Town,21.4612,-71.1419,80.19,light rain,71,100,3.13,TC
Abu Samrah,35.3029,37.1841,71.06,overcast clouds,36,97,8.21,SY
Aitape,-3.1374,142.3475,79.88,overcast clouds,85,99,3.4,PG
Khudumelapye,-23.8833,24.75,81.95,overcast clouds,26,97,5.03,BW
Severnyy,50.677,36.5532,48.24,heavy intensity rain,93,100,8.95,RU
Pevek,69.7008,170.3133,-0.27,clear sky,93,10,5.41,RU
Batticaloa,7.7102,81.6924,78.03,broken clouds,82,69,1.05,LK
Abeche,13.8292,20.8324,79.36,clear sky,16,0,13.49,TD
Whitianga,-36.8333,175.7,59.88,overcast clouds,66,96,6.24,NZ
Laguna,38.421,-121.4238,77.09,clear sky,35,0,5.75,US
Navalcarnero,40.2891,-4.012,66.45,overcast clouds,73,95,7.16,ES
Lagoa,39.05,-27.9833,63.05,light rain,67,19,23.38,PT
Stephenville Crossing,48.5,-58.4318,54.21,clear sky,91,7,1.21,CA
Strezhevoy,60.7333,77.5889,32.95,overcast clouds,75,100,14.34,RU
Palmer,42.1584,-72.3287,68.56,scattered clouds,81,40,5.75,US
Ushibuka,32.1906,130.0228,59.72,clear sky,70,0,8.61,JP
Krasnoselkup,65.7,82.4667,31.98,light snow,98,100,14.63,RU
Aksu,41.1231,80.2644,48.52,scattered clouds,34,49,2.66,CN
Guerrero Negro,27.9769,-114.0611,76.87,clear sky,32,0,11.61,MX
Monmouth,40.3001,-74.1663,71.2,overcast clouds,89,92,6.71,US
Lixourion,38.2019,20.4314,68.61,clear sky,62,1,4.92,GR
Te Anau,-45.4167,167.7167,51.3,light rain,90,100,4.41,NZ
Samarai,-10.6167,150.6667,81.95,few clouds,68,18,7.54,PG
Santiago Del Estero,-27.7951,-64.2615,99.36,clear sky,20,8,19.62,AR
Nelson Bay,-32.7167,152.15,75.09,broken clouds,70,61,8.01,AU
Katsuura,35.1333,140.3,56.1,overcast clouds,74,88,25.95,JP
Tonantins,-2.8731,-67.8022,78.31,light rain,89,100,1.48,BR
Cuamba,-14.8031,36.5372,79.02,overcast clouds,34,94,2.64,MZ
Bambui,-20.0064,-45.9769,81.16,broken clouds,35,79,0.92,BR
Dedza,-14.3779,34.3332,67.37,scattered clouds,46,47,1.74,MW
Belaya Gora,68.5333,146.4167,11.84,overcast clouds,96,100,5.48,RU
Panguna,-6.3164,155.4848,78.04,overcast clouds,73,96,0.87,PG
Kedrovyy,56.1667,91.8167,19.81,clear sky,63,9,3.91,RU
Jerecuaro,20.15,-100.5167,80.55,overcast clouds,32,90,6.51,MX
Kisangani,0.5167,25.2,70.41,light rain,99,95,0.36,CD
Jega,12.2175,4.3792,82.9,scattered clouds,29,44,9.24,NG
Ilebo,-4.3167,20.5833,70.86,few clouds,94,24,1.45,CD
Zhuhai,22.2769,113.5678,73.11,few clouds,78,20,17.27,CN
Bengkulu,-3.8004,102.2655,73.99,moderate rain,93,100,5.21,ID
Mapiripan,2.8892,-72.1256,82.0,scattered clouds,74,41,3.18,CO
Emerald,-23.5333,148.1667,72.34,few clouds,52,21,5.86,AU
Ambanja,-13.6833,48.45,74.16,broken clouds,86,72,1.48,MG
Boende,-0.2167,20.8667,71.83,overcast clouds,98,100,2.64,CD
Kungurtug,50.5994,97.5228,18.48,clear sky,45,0,2.19,RU
Biltine,14.5333,20.9167,76.98,clear sky,15,0,10.76,TD
Vaitape,-16.5167,-151.75,79.57,light rain,77,100,24.47,PF
Zhangjiakou,40.81,114.8794,52.39,overcast clouds,40,99,6.06,CN
Baykit,61.67,96.37,31.19,light snow,89,100,9.93,RU
Ciampino,41.8016,12.6066,68.61,few clouds,76,24,2.3,IT
Maryville,35.7565,-83.9705,76.71,broken clouds,43,75,11.5,US
Namibe,-15.1961,12.1522,68.79,scattered clouds,85,35,6.85,AO
Cikampek,-6.4197,107.4558,75.7,overcast clouds,87,100,5.53,ID
Kismayo,-0.3582,42.5454,77.58,broken clouds,86,66,11.7,SO
Rio Brilhante,-21.8019,-54.5464,77.65,clear sky,45,0,5.86,BR
Bovolone,45.2548,11.1263,61.97,broken clouds,81,75,2.91,IT
Okany,46.9,21.35,52.56,scattered clouds,77,28,6.58,HU
Roscommon,53.6333,-8.1833,55.11,overcast clouds,96,100,16.35,IE
Shaunavon,49.6501,-108.4181,37.18,broken clouds,98,75,3.83,CA
Maungaturoto,-36.1,174.3667,62.8,broken clouds,62,52,7.7,NZ
Marsaxlokk,35.8419,14.5431,70.09,clear sky,94,0,4.61,MT
Ossora,59.2353,163.0719,32.95,overcast clouds,73,93,20.92,RU
Teykovo,56.858,40.5369,31.14,scattered clouds,78,28,3.67,RU
Barstow,34.8986,-117.0228,78.15,clear sky,16,1,7.74,US
Onoda,34.0014,131.1836,58.98,few clouds,76,20,6.91,JP
Gambela,8.25,34.5833,70.59,scattered clouds,91,50,4.43,ET
Yekaterinovka,52.0508,44.3451,30.88,clear sky,85,10,4.45,RU
Uchiza,-8.4592,-76.4633,80.35,broken clouds,78,84,2.46,PE
Itoman,26.1247,127.6694,73.42,scattered clouds,56,40,10.36,JP
Cubuk,40.2386,33.0322,51.76,clear sky,81,0,0.0,TR
Pimenta Bueno,-11.6725,-61.1936,75.56,very heavy rain,93,96,5.84,BR
Aripuana,-9.1667,-60.6333,73.6,moderate rain,92,100,1.74,BR
Kruisfontein,-34.0033,24.7314,61.88,overcast clouds,71,100,9.08,ZA
Iqaluit,63.7506,-68.5145,22.73,light snow,92,100,24.16,CA
Saquarema,-22.92,-42.5103,73.54,few clouds,85,24,6.33,BR
Mtwara,-10.2667,40.1833,72.97,few clouds,87,14,6.35,TZ
Khammam,17.25,80.15,67.96,clear sky,73,0,5.55,IN
Hovd,48.0056,91.6419,25.16,overcast clouds,57,100,1.66,MN
Moose Factory,51.2585,-80.6094,64.4,overcast clouds,63,100,9.22,CA
Puyang,29.4603,119.8861,57.0,overcast clouds,77,100,1.83,CN
Pochutla,15.7432,-96.4661,86.83,light rain,84,80,6.58,MX
Yumen,40.2833,97.2,39.72,clear sky,47,0,7.61,CN
Salym,60.0625,71.4789,30.6,broken clouds,82,65,7.07,RU
Naze,28.3667,129.4833,72.52,overcast clouds,62,99,17.85,JP
Hamilton,39.1834,-84.5333,75.99,overcast clouds,51,100,12.66,US
Sao Miguel Do Araguaia,-13.275,-50.1628,83.77,overcast clouds,52,100,4.52,BR
Barrancas,10.9576,-72.7877,74.34,overcast clouds,99,100,3.02,CO
Fuyu,45.1833,124.8167,49.75,light rain,86,100,13.76,CN
Bac Lieu,9.285,105.7244,77.56,overcast clouds,87,91,3.33,VN
Tual,-5.6667,132.75,82.74,overcast clouds,72,93,4.76,ID
Dunedin,-45.8742,170.5036,55.78,overcast clouds,56,100,2.51,NZ
Tecoanapa,16.5167,-98.75,84.24,broken clouds,74,71,10.0,MX
Karratha,-20.7377,116.8463,73.98,clear sky,27,0,9.71,AU
Richards Bay,-28.783,32.0377,70.93,broken clouds,86,83,20.24,ZA
Santa Isabel,-23.3156,-46.2214,65.91,scattered clouds,89,38,7.54,BR
Comodoro Rivadavia,-45.8667,-67.5,57.06,broken clouds,54,75,18.41,AR
Jambi,-1.6,103.6167,73.67,overcast clouds,97,100,2.44,ID
Yar-Sale,66.8333,70.8333,19.58,overcast clouds,95,99,9.4,RU
Shingu,33.7333,135.9833,50.74,clear sky,70,0,5.44,JP
Haines Junction,60.7522,-137.5108,24.75,clear sky,54,6,6.91,CA
Salalah,17.0151,54.0924,75.29,clear sky,64,0,3.44,OM
Yeppoon,-23.1333,150.7333,78.58,clear sky,55,9,4.94,AU
Tautira,-17.7333,-149.15,77.97,light rain,84,100,25.86,PF
Fairbanks,64.8378,-147.7164,24.76,clear sky,78,0,12.66,US
Bud,39.447,-86.1758,68.34,heavy intensity rain,89,100,13.27,US
Fuyang,32.9,115.8167,59.63,overcast clouds,58,100,4.14,CN
Comarapa,-17.9,-64.4833,63.88,scattered clouds,74,43,5.06,BO
Axim,4.8699,-2.2405,77.95,light rain,86,68,4.85,GH
Abha,18.2164,42.5053,60.62,scattered clouds,82,42,0.0,SA
Hearst,49.6835,-83.6665,50.25,overcast clouds,79,98,9.04,CA
Quatre Cocos,-20.2078,57.7625,72.09,few clouds,78,21,12.91,MU
Praxedis Guerrero,31.3667,-106.0167,65.66,clear sky,16,0,9.37,MX
Baghdad,33.3406,44.4009,66.11,clear sky,42,0,2.3,IQ
Enterprise,36.0252,-115.2419,71.65,broken clouds,16,75,4.61,US
La Palma,33.8464,-118.0467,84.67,few clouds,40,20,11.5,US
Camalu,30.85,-116.0667,71.47,clear sky,28,0,9.93,MX
Bambari,5.768,20.6757,73.02,overcast clouds,84,97,0.63,CF
Itaituba,-4.2761,-55.9836,81.64,overcast clouds,74,100,4.5,BR
Sassandra,4.95,-6.0833,77.13,light rain,92,100,5.01,CI
Betong,5.7743,101.0723,71.62,overcast clouds,98,98,1.25,TH
Bilma,18.6853,12.9164,71.33,clear sky,13,0,3.04,NE
Metro,-5.1131,105.3067,74.19,overcast clouds,95,100,5.46,ID
Naples,40.8333,14.25,66.85,clear sky,93,0,2.3,IT
Baft,29.234,56.6057,55.42,clear sky,35,0,5.03,IR
Teguise,29.0605,-13.564,70.02,clear sky,73,0,6.91,ES
Espinosa,-14.9261,-42.8192,77.88,broken clouds,55,54,5.82,BR
Belz,47.6751,-3.168,65.08,broken clouds,86,63,7.0,FR
Carutapera,-1.195,-46.02,79.59,broken clouds,76,80,9.15,BR
Tuatapere,-46.1333,167.6833,52.32,overcast clouds,78,100,2.33,NZ
Talcahuano,-36.7167,-73.1167,55.08,drizzle,100,100,12.66,CL
Riyadh,24.6877,46.7219,73.54,clear sky,18,1,6.91,SA
Huadian,42.9633,126.7478,38.1,broken clouds,73,84,3.8,CN
Kortkeros,61.8106,51.5806,30.2,scattered clouds,96,32,4.34,RU
Ifanadiana,-21.3,47.6333,66.54,overcast clouds,97,99,1.66,MG
Eyl,7.9803,49.8164,78.64,few clouds,77,11,4.83,SO
Sovetskiy,61.3614,63.5842,27.48,broken clouds,88,71,5.93,RU
Isoka,-10.1606,32.6335,74.57,overcast clouds,38,97,2.91,ZM
Batagay-Alyta,67.8006,130.4114,14.25,overcast clouds,71,100,6.91,RU
Yenotayevka,47.2456,47.0281,42.15,clear sky,72,4,7.07,RU
Coaraci,-14.6408,-39.5511,70.77,overcast clouds,87,100,1.7,BR
Arawa,-6.2132,155.5367,83.97,overcast clouds,74,91,1.05,PG
Youhao,47.8667,128.8333,35.1,overcast clouds,73,100,2.75,CN
Vanimo,-2.6741,141.3028,79.16,overcast clouds,88,99,3.85,PG
Kang,-23.6752,22.7876,76.1,broken clouds,41,69,6.33,BW
Usinsk,65.9939,57.5281,21.09,overcast clouds,94,87,7.92,RU
Narasaraopet,16.25,80.0667,67.03,clear sky,78,2,4.52,IN
Lichuan,30.3,108.85,51.46,overcast clouds,89,100,2.33,CN
Solnechnyy,50.7214,136.6319,32.49,scattered clouds,67,46,4.23,RU
Timizart,36.8,4.2667,68.41,broken clouds,33,52,7.0,DZ
Tarut,26.5733,50.0369,75.4,clear sky,53,0,2.77,SA
Charkhari,25.4,79.75,69.93,clear sky,45,0,5.79,IN
Kushima,31.4583,131.2333,56.16,clear sky,78,5,8.3,JP
Salima,-13.7804,34.4587,79.68,few clouds,45,14,2.84,MW
Chumikan,54.7183,135.315,34.25,light snow,87,100,4.41,RU
Chebarkul,54.9749,60.3633,26.49,overcast clouds,85,93,5.28,RU
Lanzhou,36.0564,103.7922,56.35,overcast clouds,75,100,1.92,CN
Sinnamary,5.3833,-52.95,80.8,overcast clouds,79,97,9.89,GF
Atambua,-9.1061,124.8925,76.51,overcast clouds,83,100,1.39,ID
Ola,59.5833,151.2833,25.68,broken clouds,87,78,8.48,RU
Nouakchott,18.0858,-15.9785,76.93,overcast clouds,69,100,9.66,MR
Nishihara,26.1842,127.7558,72.68,broken clouds,59,75,10.36,JP
Waingapu,-9.6567,120.2641,80.06,overcast clouds,81,89,1.59,ID
Hofn,64.2539,-15.2082,42.12,overcast clouds,84,100,17.85,IS
Bamiantong,44.9333,130.5333,34.34,scattered clouds,66,25,5.7,CN
Fare,-16.7,-151.0167,80.02,overcast clouds,78,100,23.71,PF
Ryazanskaya,44.9553,39.5889,49.66,overcast clouds,77,91,6.49,RU
Sao Filipe,14.8961,-24.4956,78.64,broken clouds,79,84,7.31,CV
Dalbandin,28.8947,64.4101,70.14,clear sky,18,0,4.27,PK
Aktas,49.7789,72.9608,24.55,overcast clouds,25,100,7.87,KZ
Davila,18.4726,120.5763,76.98,overcast clouds,79,100,23.04,PH
Rawson,-43.3002,-65.1023,60.21,overcast clouds,47,100,16.13,AR
Nenjiang,49.1833,125.2167,35.19,snow,85,100,16.93,CN
Yarada,17.65,83.2667,78.67,broken clouds,71,70,3.98,IN
Klaksvik,62.2266,-6.589,49.12,overcast clouds,92,100,11.83,FO
Springville,40.1652,-111.6107,50.67,scattered clouds,68,40,6.91,US
Nkhotakota,-12.9274,34.2961,78.44,broken clouds,53,67,5.86,MW
Alice Springs,-23.7,133.8833,76.55,clear sky,44,2,10.36,AU
Havoysund,70.9963,24.6622,34.03,overcast clouds,63,100,5.35,NO
Sao Gabriel,-30.3364,-54.32,68.18,clear sky,67,2,8.84,BR
Brownsville,25.9018,-97.4975,81.09,clear sky,38,0,13.8,US
Makakilo City,21.3469,-158.0858,86.32,clear sky,58,0,20.71,US
Butembo,0.15,29.2833,57.61,overcast clouds,93,98,2.53,CD
Iwanai,42.9744,140.5089,37.69,clear sky,78,1,5.28,JP
Beloha,-25.1667,45.05,71.17,overcast clouds,84,100,4.52,MG
Santa Rita,-7.1139,-34.9781,79.47,few clouds,73,20,6.91,BR
Aktash,50.3,87.7333,14.02,broken clouds,55,67,4.09,RU
Maxixe,-23.8597,35.3472,75.69,clear sky,88,1,11.12,MZ
Chicama,-7.8447,-79.1469,61.34,overcast clouds,67,100,8.39,PE
Belyy Yar,53.6039,91.3903,15.69,clear sky,86,0,4.47,RU
Airai,-8.9266,125.4092,62.96,overcast clouds,88,100,1.1,TL
Tigil,57.8,158.6667,32.07,overcast clouds,82,100,21.43,RU
Hof,50.3167,11.9167,48.45,scattered clouds,92,37,1.99,DE
San Juan,-31.5375,-68.5364,87.51,broken clouds,15,83,5.48,AR
Cascais,38.6979,-9.4215,68.5,few clouds,98,19,10.0,PT
Verkhniy Avzyan,53.5289,57.5372,21.42,broken clouds,98,79,3.24,RU
Raudeberg,61.9875,5.1352,49.87,overcast clouds,1,100,17.11,NO
La Asuncion,11.0333,-63.8628,85.73,overcast clouds,74,96,13.8,VE
Pustoshka,56.3355,29.369,47.35,overcast clouds,96,100,6.58,RU
Temuco,-38.7333,-72.6,64.17,overcast clouds,69,96,3.96,CL
Botucatu,-22.8858,-48.445,67.33,clear sky,57,0,11.07,BR
Bijie,27.3125,105.2942,56.34,overcast clouds,93,97,5.59,CN
Garwa,24.1833,83.8167,63.12,clear sky,66,0,3.04,IN
Kirakira,-10.4544,161.9205,84.0,clear sky,73,2,3.31,SB
Horn Lake,34.9554,-90.0348,62.11,broken clouds,66,75,17.27,US
Harper,4.375,-7.7169,77.25,moderate rain,90,52,7.96,LR
Puro,12.4841,123.3827,80.33,overcast clouds,84,96,10.58,PH
Sena Madureira,-9.0656,-68.6569,87.96,overcast clouds,53,98,3.04,BR
Whitehorse,60.7161,-135.0538,20.17,few clouds,68,20,3.44,CA
Melchor De Mencos,17.0686,-89.1522,84.83,light rain,76,39,6.42,GT
Kiruna,67.8557,20.2251,29.32,overcast clouds,93,100,2.3,SE
San Rafael Del Sur,11.8485,-86.4384,88.77,overcast clouds,82,88,1.57,NI
Ratnagiri,16.9833,73.3,72.77,clear sky,75,1,5.08,IN
Brae,60.3964,-1.353,51.71,overcast clouds,88,100,8.99,GB
Tiarei,-17.5333,-149.3333,82.42,light rain,84,100,24.36,PF
Puerto Escondido,15.85,-97.0667,85.03,scattered clouds,54,40,9.22,MX
Jipijapa,-1.3333,-80.5833,69.3,overcast clouds,69,95,8.32,EC
San Francisco,37.7749,-122.4194,76.32,scattered clouds,69,40,17.27,US
Rorvik,64.8621,11.2373,48.31,overcast clouds,81,100,8.05,NO
Anamoros,13.7406,-87.8736,82.13,overcast clouds,85,90,3.18,SV
Gillette,44.2911,-105.5022,48.11,few clouds,42,20,13.8,US
Deputatskiy,69.3,139.9,12.02,overcast clouds,88,100,8.59,RU
Waitati,-45.75,170.5667,57.49,overcast clouds,54,100,2.73,NZ
Issoire,45.55,3.25,63.66,broken clouds,79,81,5.99,FR
Constantine,36.365,6.6147,58.41,clear sky,38,0,2.3,DZ
Bani Walid,31.7566,13.9942,68.67,clear sky,53,0,3.04,LY
San Buenaventura,27.0833,-101.5333,80.47,clear sky,20,2,6.51,MX
Haapiti,-17.5667,-149.8667,82.13,light rain,81,100,24.29,PF
Sisimiut,66.9395,-53.6735,25.68,overcast clouds,86,91,7.94,GL
Takoradi,4.8845,-1.7554,77.9,light rain,87,71,5.73,GH
Kabansk,52.0486,106.6528,25.63,clear sky,61,3,5.41,RU
Bettiah,26.8,84.5,67.66,clear sky,67,0,2.59,IN
Tikrit,34.6071,43.6782,70.5,broken clouds,21,63,7.85,IQ
Murindo,6.9848,-76.7544,77.16,overcast clouds,95,100,3.13,CO
South River,40.4465,-74.386,70.61,overcast clouds,90,99,1.01,US
Faanui,-16.4833,-151.75,79.59,light rain,77,99,24.38,PF
Tiksi,71.6872,128.8694,18.41,overcast clouds,91,100,12.75,RU
Kincardine,56.0667,-3.7167,56.28,overcast clouds,92,100,6.38,GB
Polunochnoye,60.8697,60.4153,25.74,few clouds,76,14,5.08,RU
Codrington,-38.2667,141.9667,57.87,overcast clouds,96,99,10.38,AU
Leo,11.1,-2.1,81.18,few clouds,35,14,5.97,BF
Emirdag,39.0197,31.15,50.11,clear sky,51,1,0.67,TR
Vilhena,-12.7406,-60.1458,73.62,light rain,94,20,2.3,BR
Iquitos,-3.7481,-73.2472,87.84,scattered clouds,66,40,2.3,PE
Sola,-13.8833,167.55,79.21,clear sky,76,7,1.07,VU
Half Moon Bay,37.4636,-122.4286,74.59,scattered clouds,58,40,17.27,US
Terme,41.2092,36.9739,48.13,clear sky,76,0,4.14,TR
Coffs Harbour,-30.3,153.1333,75.16,scattered clouds,60,48,4.61,AU
Port-Gentil,-0.7193,8.7815,78.76,thunderstorm,94,40,5.75,GA
Kailua,21.4022,-157.7394,87.78,broken clouds,68,75,16.11,US
Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.68,scattered clouds,79,50,11.52,BR
Margate,51.3813,1.3862,61.9,overcast clouds,85,100,4.0,GB
Mackay,-21.15,149.2,85.68,scattered clouds,63,33,0.87,AU
Fairlie,55.756,-4.8556,55.42,moderate rain,87,100,4.0,GB
Vikarabad,17.3333,77.9,63.1,clear sky,74,0,4.92,IN
Marzuq,14.4,46.4667,66.25,clear sky,60,6,2.86,YE
Luxeuil-Les-Bains,47.8171,6.365,60.42,light rain,67,100,3.44,FR
Malindi,-3.2175,40.1191,75.92,overcast clouds,88,100,8.63,KE
Ornes,66.8689,13.7078,41.5,overcast clouds,90,100,3.71,NO
Cabedelo,-6.9811,-34.8339,79.47,overcast clouds,73,89,12.19,BR
Kenai,60.5544,-151.2583,29.14,light snow,93,100,13.8,US
Komsomolskiy,40.4272,71.7189,56.12,moderate rain,82,40,4.61,UZ
Aykhal,66.0,111.5,13.1,scattered clouds,96,48,12.95,RU
Bantry,51.6833,-9.45,58.78,overcast clouds,92,100,18.95,IE
Panacan,9.2463,118.4082,79.41,overcast clouds,85,100,3.33,PH
Yate,51.5407,-2.4184,61.12,overcast clouds,90,100,5.01,GB
Ustye,59.6304,39.736,30.65,scattered clouds,82,32,4.61,RU
Pandan,14.0453,124.1694,81.01,overcast clouds,84,92,18.25,PH
Muisne,0.6,-80.0333,75.6,overcast clouds,80,100,10.51,EC
Vostok,46.4856,135.8833,28.87,clear sky,52,9,4.65,RU
Pafos,34.7667,32.4167,69.58,clear sky,52,0,8.05,CY
Joshimath,30.5667,79.5667,49.3,clear sky,28,0,8.5,IN
