City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Arlit,18.7369,7.3853,80.51,18,2,15.7,NE,1666815146
Butaritari,3.0707,172.7902,81.99,75,100,13.85,KI,1666815146
Taltal,-25.4,-70.4833,64.0,64,23,6.6,CL,1666815147
Marsh Harbour,26.5412,-77.0636,78.44,63,7,10.51,BS,1666815147
Atuona,-9.8,-139.0333,77.22,74,23,19.44,PF,1666815148
Ponta do Sol,32.6667,-17.1,74.01,80,65,5.41,PT,1666815148
Atlantic City,39.3643,-74.4229,68.18,88,100,10.36,US,1666814936
San Patricio,28.017,-97.5169,80.17,25,0,11.45,US,1666815149
Nanortalik,60.1432,-45.2371,34.83,95,100,4.43,GL,1666815149
Wuwei,37.9281,102.6414,46.02,58,2,1.41,CN,1666815150
Saint-Philippe,-21.3585,55.7679,71.19,86,95,14.7,RE,1666815150
Vaini,-21.2,-175.2,75.36,78,20,9.22,TO,1666815150
Mataura,-46.1927,168.8643,46.63,100,100,3.31,NZ,1666815151
Constitución,-35.3333,-72.4167,61.5,70,13,15.14,CL,1666814893
Westport,41.1415,-73.3579,75.09,85,100,4.61,US,1666814911
Carnarvon,-24.8667,113.6333,65.3,67,0,23.11,AU,1666815151
Vila,42.0304,-8.1588,58.69,76,100,6.31,PT,1666815152
Bluff,-46.6,168.3333,45.68,91,100,12.21,NZ,1666815152
Cape Town,-33.9258,18.4232,66.11,75,0,7.0,ZA,1666815081
Tuktoyaktuk,69.4541,-133.0374,11.68,88,69,17.69,CA,1666815153
Cabo San Lucas,22.8909,-109.9124,87.62,61,20,11.5,MX,1666815153
Kruisfontein,-34.0033,24.7314,63.88,91,0,9.1,ZA,1666815153
Wanaka,-44.7,169.15,50.11,92,100,2.55,NZ,1666814910
Macapá,0.0389,-51.0664,89.58,62,20,9.22,BR,1666815154
Heyang,26.1011,107.473,63.12,92,100,1.97,CN,1666815154
Belmonte,-15.8631,-38.8828,75.2,85,16,6.62,BR,1666815155
Thinadhoo,0.5333,72.9333,82.29,77,77,14.88,MV,1666815155
Nome,64.5011,-165.4064,30.27,60,0,14.97,US,1666815156
Plettenberg Bay,-34.0527,23.3716,60.51,89,1,4.18,ZA,1666815156
Umm Kaddadah,13.6017,26.6876,79.54,21,10,13.2,SD,1666815156
Rikitea,-23.1203,-134.9692,73.29,82,94,11.68,PF,1666815157
Yate,51.5407,-2.4184,59.05,90,100,5.01,GB,1666815157
Khandyga,62.6667,135.6,9.5,98,100,3.44,RU,1666815158
Arraial do Cabo,-22.9661,-42.0278,75.06,73,40,13.8,BR,1666815158
Nizwá,22.9333,57.5333,76.86,30,0,3.76,OM,1666815158
Roebourne,-20.7833,117.1333,72.7,46,0,4.97,AU,1666815159
Nur-Sultan,51.1801,71.446,33.75,93,75,17.9,KZ,1666814954
Esperance,-33.8667,121.9,56.79,60,98,9.98,AU,1666815159
Fairbanks,64.8378,-147.7164,19.81,71,0,10.36,US,1666815005
Sørland,67.667,12.6934,42.66,57,81,3.58,NO,1666815160
Lebu,-37.6167,-73.65,57.11,72,8,10.13,CL,1666815160
Cap Malheureux,-19.9842,57.6142,73.47,71,1,5.01,MU,1666815160
Kendari,-3.945,122.4989,74.97,94,95,3.24,ID,1666815161
Tiksi,71.6872,128.8694,-0.09,98,60,5.59,RU,1666815161
Port Blair,11.6667,92.75,79.56,85,100,7.65,IN,1666814915
Mar del Plata,-38.0023,-57.5575,62.62,96,75,3.44,AR,1666815162
Barrow,71.2906,-156.7887,19.42,86,100,5.75,US,1666815162
Punta Arenas,-53.15,-70.9167,51.91,54,40,33.38,CL,1666815162
Salalah,17.0151,54.0924,77.09,57,0,4.61,OM,1666815163
Borba,-4.3878,-59.5939,91.81,49,98,1.57,BR,1666815223
Karabulak,43.3036,44.8964,43.79,92,100,1.83,RU,1666815224
Khani,41.9563,42.9566,40.57,72,100,4.36,GE,1666815224
Hilo,19.7297,-155.09,84.11,72,40,8.05,US,1666815224
Albany,42.6001,-73.9662,74.34,71,5,4.0,US,1666815067
Alofi,-19.0595,-169.9187,76.89,78,75,6.91,NU,1666815225
Cockburn Town,21.4612,-71.1419,82.36,61,40,5.75,TC,1666815225
Coahuayana Viejo,18.7333,-103.6833,86.5,66,70,5.88,MX,1666815226
Yulara,-25.2406,130.9889,62.04,54,0,10.98,AU,1666815226
Havre-St-Pierre,50.2334,-63.5986,54.01,94,67,3.11,CA,1666815226
Punta Alta,-38.8759,-62.0736,63.37,72,40,10.36,AR,1666815227
Qaanaaq,77.484,-69.3632,2.39,82,94,8.9,GL,1666815227
Busselton,-33.65,115.3333,46.09,75,22,8.88,AU,1666815228
Tuatapere,-46.1333,167.6833,47.46,98,100,4.74,NZ,1666815228
Ushuaia,-54.8,-68.3,55.06,38,20,14.97,AR,1666815096
Inverness,57.4791,-4.224,53.83,71,20,16.11,GB,1666815229
Puerto Ayora,-0.7393,-90.3518,71.56,88,78,5.01,EC,1666815229
East London,-33.0153,27.9116,65.98,85,98,14.14,ZA,1666815230
Thompson,55.7435,-97.8558,30.31,68,81,4.36,CA,1666815230
Srandakan,-7.9386,110.2506,75.49,86,100,6.42,ID,1666815231
Yenagoa,4.9247,6.2642,77.41,91,100,4.0,NG,1666815231
Diamantino,-14.4086,-56.4461,92.59,40,72,9.95,BR,1666815231
Hobart,-42.8794,147.3294,55.26,98,75,8.05,AU,1666815232
Saldanha,-33.0117,17.9442,60.39,92,0,9.78,ZA,1666815232
Presidente Epitácio,-21.7633,-52.1156,91.99,32,0,3.96,BR,1666815233
Broken Hill,-31.95,141.4333,53.37,78,0,12.57,AU,1666815233
Kavieng,-2.5744,150.7967,82.2,74,100,5.01,PG,1666815233
Brae,60.3964,-1.353,55.71,75,19,20.94,GB,1666815234
Kushikino,31.7167,130.2667,62.08,69,100,5.99,JP,1666815234
Pangnirtung,66.1451,-65.7125,25.61,92,100,11.74,CA,1666815234
Tokur,53.1333,132.9,21.47,88,96,5.19,RU,1666815235
Mahébourg,-20.4081,57.7,73.26,75,15,11.63,MU,1666815235
Port Alfred,-33.5906,26.891,64.18,95,100,4.0,ZA,1666815236
Torbay,47.6666,-52.7314,62.76,90,57,8.99,CA,1666815236
Yatou,37.15,122.3833,51.26,70,19,4.81,CN,1666815237
Port Elizabeth,-33.918,25.5701,66.09,93,44,3.0,ZA,1666815238
Rapid Valley,44.0625,-103.1463,58.77,32,0,21.85,US,1666815238
Porto-Novo,6.4965,2.6036,79.12,84,99,4.83,BJ,1666815149
Hermanus,-34.4187,19.2345,61.81,87,1,8.93,ZA,1666815239
Thunder Bay,48.4001,-89.3168,42.37,46,6,11.41,CA,1666815079
Jamestown,42.097,-79.2353,57.02,95,100,8.05,US,1666815240
Mombetsu,44.3525,143.3525,38.89,68,0,6.44,JP,1666815241
Klaksvík,62.2266,-6.589,52.72,97,100,16.58,FO,1666815301
Sungai Raya,0.7,108.9,77.47,89,100,1.83,ID,1666815302
Dunedin,-45.8742,170.5036,46.8,93,100,5.59,NZ,1666815281
Wawa,9.9022,4.4192,80.26,57,71,1.01,NG,1666815303
Saskylakh,71.9167,114.0833,11.62,96,100,4.07,RU,1666815303
Sydney,-33.8679,151.2073,67.3,66,0,11.5,AU,1666815304
Geraldton,-28.7667,114.6,54.01,82,0,10.36,AU,1666815249
Laguna,38.421,-121.4238,72.28,36,0,14.97,US,1666815304
Coyhaique,-45.5752,-72.0662,54.21,43,75,13.8,CL,1666815305
Lata,40.1629,-8.3327,67.08,75,100,5.7,PT,1666815305
Souillac,-20.5167,57.5167,71.56,78,31,10.04,MU,1666815306
Khatanga,71.9667,102.5,0.61,95,98,9.82,RU,1666815306
Tasiilaq,65.6145,-37.6368,30.36,97,82,3.24,GL,1666815307
Yumen,40.2833,97.2,40.44,45,22,5.66,CN,1666815307
Kapaa,22.0752,-159.319,80.92,83,75,18.41,US,1666815308
Dikson,73.5069,80.5464,26.19,65,100,7.05,RU,1666815308
Lesogorskiy,61.0455,28.9294,47.23,95,100,4.23,RU,1666815309
Avarua,-21.2078,-159.775,75.25,69,40,5.75,CK,1666815309
Garoowe,8.4054,48.4845,76.46,75,81,15.57,SO,1666815309
Kisangani,0.5167,25.2,71.17,98,100,2.1,CD,1666815310
Touros,-5.1989,-35.4608,79.56,71,95,12.57,BR,1666815311
Sulangan,11.1373,123.7228,82.71,77,100,6.44,PH,1666815311
Malanje,-9.5402,16.341,66.94,91,75,4.85,AO,1666815311
Yar-Sale,66.8333,70.8333,28.4,84,100,16.78,RU,1666815312
Susaki,33.3667,133.2833,56.91,59,100,4.21,JP,1666815313
Longyearbyen,78.2186,15.6401,13.84,73,20,11.5,SJ,1666815313
Diffa,13.3154,12.6113,80.56,17,8,6.82,NE,1666815314
Castro,-24.7911,-50.0119,73.33,51,0,5.28,BR,1666815314
Talnakh,69.4865,88.3972,4.08,97,100,5.95,RU,1666815315
Ribeira Grande,38.5167,-28.7,61.2,67,75,11.5,PT,1666815315
Buchanan,5.8808,-10.0467,78.13,88,96,6.31,LR,1666815316
Norman Wells,65.282,-126.8329,21.34,79,77,11.97,CA,1666815316
Laibin,23.7,109.2667,75.81,65,99,6.96,CN,1666815317
General Roca,-39.0333,-67.5833,75.61,12,0,29.17,AR,1666815318
Kumul,42.8,93.45,49.77,38,98,5.64,CN,1666815318
Bikin,46.8161,134.26,45.32,95,100,5.46,RU,1666815319
Río Gallegos,-51.6226,-69.2181,60.96,29,100,19.42,AR,1666815320
Inírida,3.8653,-67.9239,88.88,57,54,2.06,CO,1666815320
Sidi Ali,36.0998,0.4206,74.21,42,100,4.81,DZ,1666815321
Farafangana,-22.8167,47.8333,72.68,89,100,10.6,MG,1666815321
Kyabé,9.4515,18.9449,76.75,48,63,3.2,TD,1666815322
Bredasdorp,-34.5322,20.0403,58.82,92,5,7.2,ZA,1666815322
Manaure,11.7751,-72.4445,83.39,71,39,10.94,CO,1666815323
Aykhal,66.0,111.5,20.84,89,94,24.27,RU,1666815323
Belyy Yar,53.6039,91.3903,21.09,86,53,2.24,RU,1666815385
New Norfolk,-42.7826,147.0587,54.91,86,100,2.91,AU,1666815385
Berlevåg,70.8578,29.0864,37.35,65,100,5.75,NO,1666815387
West Bay,19.3667,-81.4167,86.07,68,40,10.36,KY,1666815387
Beloha,-25.1667,45.05,69.91,92,1,3.36,MG,1666815387
Lufilufi,-13.8745,-171.5986,74.98,88,100,16.89,WS,1666815388
Springdale,36.1867,-94.1288,68.05,40,0,6.91,US,1666815319
Nikolskoye,59.7035,30.7861,48.09,97,100,5.26,RU,1666815388
Upernavik,72.7868,-56.1549,15.85,82,96,5.14,GL,1666815389
Abu Kamal,34.4506,40.9171,70.16,39,5,7.2,SY,1666815389
Cidreira,-30.1811,-50.2056,71.08,80,76,16.46,BR,1666815389
Eravur,7.7733,81.6095,79.61,67,87,4.25,LK,1666815390
Airai,-8.9266,125.4092,61.59,88,100,1.32,TL,1666815390
Davila,18.4726,120.5763,77.49,78,100,19.51,PH,1666815391
Fortuna,40.5982,-124.1573,60.93,65,0,9.22,US,1666815391
Port Lincoln,-34.7333,135.8667,56.3,73,100,16.42,AU,1666815317
Akdepe,42.0551,59.3788,44.69,72,8,5.23,TM,1666815391
Sobolevo,54.4299,31.8996,44.51,96,100,3.65,RU,1666815392
Uíge,-7.6087,15.0613,68.54,96,70,2.28,AO,1666815392
Bereda,43.2686,-7.5406,59.23,93,100,3.85,ES,1666815393
Rognan,67.0953,15.3878,41.88,99,100,1.41,NO,1666815393
Acaraú,-2.8856,-40.12,81.41,67,95,17.92,BR,1666815393
Arcata,40.8665,-124.0828,61.2,81,100,5.99,US,1666815347
Riyadh,24.6877,46.7219,73.54,19,18,8.72,SA,1666815177
Picota,-6.9197,-76.3304,95.49,44,83,4.56,PE,1666815394
Petauke,-14.2426,31.3253,79.95,34,12,6.89,ZM,1666815394
Mizdah,31.4451,12.9801,65.62,40,6,4.07,LY,1666815395
Chokurdakh,70.6333,147.9167,14.34,95,100,8.46,RU,1666815395
Saint-Augustin,51.226,-58.6502,60.6,78,100,9.19,CA,1666815396
Ust-Nera,64.5667,143.2,4.71,99,90,5.55,RU,1666815396
Sisimiut,66.9395,-53.6735,28.62,73,98,11.63,GL,1666815396
Saint George,37.1041,-113.5841,65.79,29,0,4.61,US,1666815108
Kaitangata,-46.2817,169.8464,44.49,95,100,4.81,NZ,1666815397
Wencheng,33.0559,113.7978,51.76,91,90,5.5,CN,1666815397
Labuhan,-6.8844,112.2051,77.54,83,100,12.37,ID,1666815398
Vestnes,62.6264,7.0884,49.91,87,40,8.05,NO,1666815253
Vila Franca do Campo,37.7167,-25.4333,62.2,82,100,23.49,PT,1666815398
Papara,-3.9839,-38.7273,81.0,57,100,8.25,BR,1666815399
Dingle,10.9995,122.6711,76.19,93,100,5.95,PH,1666815399
Bethel,41.3712,-73.414,74.25,72,0,6.91,US,1666815399
Clyde River,70.4692,-68.5914,16.03,86,100,14.97,CA,1666815124
Mahibadhoo,3.7833,72.9667,80.85,80,6,9.46,MV,1666815400
Kamaishi,39.2667,141.8833,45.07,70,0,5.14,JP,1666815400
Beausejour,50.0622,-96.5167,35.37,51,92,5.37,CA,1666815401
Barra do Bugres,-15.0725,-57.1811,98.83,29,76,7.38,BR,1666815401
Churhat,24.428,81.6703,67.1,55,0,2.44,IN,1666815401
Ubari,26.5921,12.7805,70.77,22,0,7.94,LY,1666815402
Arrondissement de Vannes,47.8333,-2.5,57.81,93,99,6.51,FR,1666815462
Maan,5.9339,124.7356,78.24,85,100,7.09,PH,1666815462
Guerrero Negro,27.9769,-114.0611,73.24,50,74,13.65,MX,1666815463
Bilibino,68.0546,166.4372,2.39,99,99,1.52,RU,1666815463
Winslow,35.0242,-110.6974,66.38,20,0,8.05,US,1666815464
Vestmannaeyjar,63.4427,-20.2734,44.46,83,72,3.06,IS,1666815464
Yellowknife,62.456,-114.3525,27.12,93,100,2.3,CA,1666815464
Henties Bay,-22.116,14.2845,59.56,87,12,5.26,NA,1666815465
Cutervo,-6.379,-78.8157,66.97,51,58,4.74,PE,1666815465
Kresttsy,58.2452,32.5165,46.8,97,100,6.82,RU,1666815465
Maţāy,28.419,30.7792,74.57,53,2,5.99,EG,1666815466
Aksarka,66.5606,67.7975,28.26,83,100,15.43,RU,1666815466
Severo-Kuril'sk,50.6789,156.125,37.81,79,87,2.68,RU,1666815467
Bambous Virieux,-20.3428,57.7575,73.22,78,40,9.22,MU,1666815467
Japura,-0.3167,102.35,73.85,98,100,2.62,ID,1666815467
Orodara,10.9492,-4.9342,82.08,45,100,2.57,BF,1666815468
Los Llanos de Aridane,28.6585,-17.9182,67.75,87,20,6.91,ES,1666815468
Puerto del Rosario,28.5004,-13.8627,74.95,78,0,8.05,ES,1666815468
Beringovskiy,63.05,179.3167,26.31,72,85,12.41,RU,1666815469
Naze,28.3667,129.4833,72.52,62,97,17.6,JP,1666815469
Kavarna,43.4333,28.3333,57.58,92,85,6.53,BG,1666815469
Abu Samrah,35.3029,37.1841,68.77,44,32,7.85,SY,1666815470
Saint Paul Harbor,57.79,-152.4072,40.51,65,100,24.16,US,1666815470
Hvolsvollur,63.7533,-20.2243,40.21,83,23,5.48,IS,1666815471
Pevek,69.7008,170.3133,-5.84,99,64,4.65,RU,1666815471
Nishihara,26.1842,127.7558,74.48,65,75,8.05,JP,1666815471
Nelson Bay,-32.7167,152.15,66.25,90,29,4.0,AU,1666815472
Hithadhoo,-0.6,73.0833,82.36,75,100,10.8,MV,1666815473
Mossamedes,-15.1961,12.1522,68.22,76,16,10.8,AO,1666815474
Tautira,-17.7333,-149.15,74.95,78,100,17.47,PF,1666815474
George Town,5.4112,100.3354,78.73,92,20,2.3,MY,1666815317
Kununurra,-15.7667,128.7333,80.58,83,99,0.0,AU,1666815474
Senno,59.5336,33.9167,42.26,98,100,6.6,RU,1666815475
Lorengau,-2.0226,147.2712,80.55,77,47,3.36,PG,1666815476
Cherskiy,68.75,161.3,2.14,98,96,4.14,RU,1666815477
Kaifeng,34.7911,114.3483,52.34,75,25,6.08,CN,1666815477
Hong Kong,22.2855,114.1577,74.32,82,24,10.0,HK,1666815336
Lompoc,34.6391,-120.4579,75.02,59,0,18.41,US,1666815238
Caravelas,-17.7125,-39.2481,76.19,75,28,6.73,BR,1666815478
Mareeba,-17.0,145.4333,73.44,97,25,1.81,AU,1666815478
Kupang,-10.1667,123.5833,79.65,82,73,1.61,ID,1666815478
Kichera,55.9375,110.0997,21.94,75,79,6.06,RU,1666815479
Provideniya,64.3833,-173.3,18.1,90,36,6.64,RU,1666815479
Najrān,17.4924,44.1277,66.85,26,0,1.28,SA,1666815479
Ouango,4.3133,22.5552,71.6,94,13,2.68,CF,1666815480
Grafton,42.207,-71.6856,68.92,91,100,4.61,US,1666815480
Isangel,-19.55,169.2667,78.91,73,10,8.05,VU,1666815480
Kandete,-9.15,33.8,64.72,58,14,1.74,TZ,1666815481
Zhangye,38.9342,100.4517,46.0,39,3,5.14,CN,1666815481
Gizo Government Station,-8.103,156.8419,82.35,70,93,3.33,SB,1666815542
Pisco,-13.7,-76.2167,68.05,64,0,12.66,PE,1666815367
Vila Velha,-20.3297,-40.2925,76.95,85,75,8.05,BR,1666815543
Kavaratti,10.5669,72.642,81.84,56,7,6.15,IN,1666815543
Hasaki,35.7333,140.8333,47.21,55,3,8.95,JP,1666815544
Moranbah,-22.0016,148.0466,73.72,77,100,10.94,AU,1666815544
Dudinka,69.4058,86.1778,6.82,97,100,6.64,RU,1666815545
Marck,50.949,1.9433,61.03,87,59,8.9,FR,1666815335
Tocopilla,-22.092,-70.1979,66.31,63,21,11.07,CL,1666815545
Husavik,66.0449,-17.3389,37.76,94,100,5.59,IS,1666815546
Wahiawā,21.5028,-158.0236,78.87,80,100,0.0,US,1666815546
Ginda,30.6945,78.4932,51.01,40,0,6.42,IN,1666815547
Angoram,-4.0625,144.0661,73.36,96,100,1.39,PG,1666815547
Mananara,-16.1667,49.7667,68.85,90,66,2.1,MG,1666815548
Sesheke,-17.4759,24.2968,76.77,42,77,3.04,ZM,1666815548
Sherpur,25.0188,90.0175,67.8,88,0,2.21,BD,1666815549
Nsanje,-16.92,35.262,88.61,34,80,5.59,MW,1666815549
Alta Floresta,-9.8756,-56.0861,84.02,74,40,3.44,BR,1666815550
Kudahuvadhoo,2.6708,72.8944,80.6,81,4,9.84,MV,1666815550
Muromtsevo,56.3724,75.2418,33.12,89,100,8.14,RU,1666815551
Olafsvik,64.8945,-23.7142,43.81,77,79,8.16,IS,1666815551
Leningradskiy,69.3833,178.4167,-1.79,95,38,6.82,RU,1666815551
Sitka,57.0531,-135.33,51.69,82,100,19.57,US,1666815552
Gravdal,68.1214,13.5031,35.49,93,75,4.0,NO,1666815552
Poum,-20.2333,164.0167,76.19,78,3,11.34,NC,1666815553
Hamilton,39.1834,-84.5333,53.01,83,100,14.97,US,1666815553
Yablonovo,50.8523,37.3574,49.82,99,100,3.44,RU,1666815554
Lethem,3.3803,-59.7968,85.19,66,88,2.86,GY,1666815554
Champerico,14.3,-91.9167,91.94,72,27,7.76,GT,1666815554
Yermekeyevo,54.0761,53.6712,30.0,78,16,2.04,RU,1666815555
Ajdabiya,30.7554,20.2263,70.18,70,0,9.62,LY,1666815555
Knysna,-34.0363,23.0471,60.64,91,0,3.89,ZA,1666815556
Mount Gambier,-37.8333,140.7667,55.31,100,100,8.05,AU,1666815556
Salinópolis,-0.6136,-47.3561,81.52,71,100,12.84,BR,1666815556
Coos Bay,43.3665,-124.2179,58.23,86,20,5.75,US,1666815557
Tanout,14.9709,8.8879,80.62,14,47,9.6,NE,1666815557
Kishtwār,33.3167,75.7667,49.15,46,0,5.64,IN,1666815558
Road Town,18.4167,-64.6167,78.89,100,40,2.3,VG,1666815382
Nageshwari,25.9377,89.7148,70.57,77,0,1.97,BD,1666815559
São Filipe,14.8961,-24.4956,79.48,76,100,8.55,CV,1666815559
Narsaq,60.9167,-46.05,30.42,97,100,8.23,GL,1666815559
Gaziantep,37.0594,37.3825,60.73,51,75,8.05,TR,1666815560
Sławno,54.3628,16.6789,52.25,87,100,5.97,PL,1666815561
