City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Orbetello,42.4408,11.2196,62.62,82,48,4.14,IT,1666815561
Tervel Municipality,43.75,27.4,55.24,64,76,2.1,BG,1666815562
Parker,32.7668,-97.8003,73.85,35,0,5.01,US,1666815622
Rawson,-43.3002,-65.1023,64.4,43,12,11.72,AR,1666815623
Bengkulu,-3.8004,102.2655,74.12,92,100,5.32,ID,1666815614
Chak Thirty-one -Eleven Left,30.4333,72.7,73.76,24,0,3.04,PK,1666815624
Alice Springs,-23.7,133.8833,63.95,55,5,9.22,AU,1666815624
Derzhavīnsk,51.1,66.3167,32.25,95,100,24.79,KZ,1666815625
Stornoway,58.2093,-6.3865,53.92,79,100,32.21,GB,1666815625
Merritt Island,28.5392,-80.672,89.04,50,0,6.91,US,1666815626
Kenai,60.5544,-151.2583,31.14,97,100,0.0,US,1666815417
San Cristobal,7.7669,-72.225,75.38,55,72,2.13,VE,1666815626
Faanui,-16.4833,-151.75,75.2,89,100,20.89,PF,1666815627
Thohoyandou,-22.9456,30.485,71.26,79,100,12.86,ZA,1666815627
Codrington,-38.2667,141.9667,55.85,97,100,7.85,AU,1666815628
Oxbow,49.2333,-102.1676,36.64,87,13,4.43,CA,1666815550
Atar,20.5169,-13.0499,86.85,10,49,6.96,MR,1666815628
Grindavik,63.8424,-22.4338,41.47,93,0,6.91,IS,1666815630
Bartoszyce,54.2535,20.8082,50.04,89,100,7.34,PL,1666815630
Oddur,4.1213,43.8894,76.21,74,36,11.7,SO,1666815631
Atbasar,51.8,68.3333,33.66,97,100,17.58,KZ,1666815631
Gobabis,-22.45,18.9667,76.71,36,82,8.79,NA,1666815632
Carauari,-4.8828,-66.8958,88.74,61,100,3.09,BR,1666815632
Korem,12.5058,39.5228,56.8,70,30,5.17,ET,1666815632
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,80,75,2.24,RU,1666815633
Guánica,17.9716,-66.908,84.97,85,100,1.66,PR,1666815634
Kahului,20.8947,-156.47,79.84,89,40,11.5,US,1666815634
Zhigansk,66.7697,123.3711,23.27,95,100,21.94,RU,1666815635
Zeya,53.75,127.2667,26.6,63,0,4.34,RU,1666815635
Campoverde,-8.4753,-74.8058,94.69,38,99,3.78,PE,1666815636
Petersburg,37.2279,-77.4019,67.6,81,100,4.61,US,1666815636
Ixtapa,20.7,-105.2,86.23,66,20,8.05,MX,1666815518
Buala,-8.145,159.5921,79.7,80,57,2.64,SB,1666815637
Lagoa,39.05,-27.9833,60.69,61,100,25.86,PT,1666815637
Iqaluit,63.7506,-68.5145,33.53,93,75,20.71,CA,1666815638
Luwuk,-0.9516,122.7875,77.85,82,100,2.01,ID,1666815638
Sherlovaya Gora,50.5667,116.25,22.3,49,0,3.98,RU,1666815638
Jiaojiang,28.6803,121.4428,64.99,87,100,4.88,CN,1666815639
Qiyang,26.5911,111.8474,64.78,58,100,8.03,CN,1666815639
Samdrup Jongkhar District,26.9167,91.6167,61.23,95,51,2.37,BT,1666815640
Port Macquarie,-31.4333,152.9167,64.18,73,6,5.64,AU,1666815445
Mahajanga,-15.7167,46.3167,77.02,94,40,10.36,MG,1666815640
Whitehorse,60.7161,-135.0538,34.11,78,75,17.27,CA,1666815491
Boa Vista,2.8197,-60.6733,76.98,88,75,4.61,BR,1666815641
Burnie,-41.0667,145.9167,57.94,98,100,5.97,AU,1666815641
Hoopstad,-27.8327,25.9083,75.61,19,94,5.88,ZA,1666815642
Melivoia,39.75,22.8,61.18,60,1,2.82,GR,1666815642
Ghanzi,-21.5667,21.7833,78.37,43,94,3.53,BW,1666815702
Camopi,3.1655,-52.3158,81.18,72,100,3.65,GF,1666815703
Druzhba,52.0428,33.9453,42.48,93,100,7.81,UA,1666815703
Vyborg,60.7076,28.7528,47.53,98,100,4.45,RU,1666815668
Doka,13.5167,35.7667,74.97,62,100,10.76,SD,1666815704
Bandarbeyla,9.4942,50.8122,78.6,86,28,7.81,SO,1666815704
Haines Junction,60.7522,-137.5108,24.75,93,100,0.0,CA,1666815705
Vysoké Mýto,49.9532,16.1617,54.9,85,62,1.86,CZ,1666815705
Vardø,70.3705,31.1107,35.82,70,100,14.03,NO,1666815705
Mumbai,19.0144,72.8479,80.58,50,0,0.0,IN,1666815662
Mint Hill,35.1796,-80.6473,71.74,69,20,6.91,US,1666815455
Māngrol,21.1167,70.1167,77.81,66,2,5.91,IN,1666815706
Pushkinskiye Gory,57.0209,28.9103,48.31,97,100,5.48,RU,1666815706
Tigil',57.8,158.6667,31.89,99,100,3.62,RU,1666815707
Okoneshnikovo,54.8377,75.0834,31.15,92,100,6.93,RU,1666815707
Anadyr,64.75,177.4833,16.3,78,75,15.66,RU,1666815708
San Quintín,30.4833,-115.95,69.82,64,0,14.52,MX,1666815708
Juneau,58.3019,-134.4197,42.8,94,100,19.57,US,1666815708
Ola,59.5833,151.2833,19.78,81,66,8.05,RU,1666815709
Goderich,43.7501,-81.7165,49.91,100,100,25.32,CA,1666815709
São João da Barra,-21.6403,-41.0511,77.09,78,30,13.04,BR,1666815709
Corvallis,44.5646,-123.262,57.72,79,100,4.61,US,1666815471
Lavrentiya,65.5833,-171.0,23.76,76,3,6.89,RU,1666815711
Lázaro Cárdenas,17.9583,-102.2,84.54,71,59,8.72,MX,1666815711
Half Moon Bay,37.4636,-122.4286,70.92,58,0,14.97,US,1666815712
Hambantota,6.1241,81.1185,75.83,80,93,12.12,LK,1666815712
Ayan,56.45,138.1667,31.68,60,5,10.85,RU,1666815712
Katsuura,35.1333,140.3,55.81,66,0,8.41,JP,1666815713
Cadiz,36.5,-5.75,78.22,37,100,11.05,ES,1666815713
Turaif,31.6725,38.6637,64.65,52,40,9.22,SA,1666815713
Ostrovnoy,68.0531,39.5131,32.38,95,100,13.31,RU,1666815714
Sayyan,15.1718,44.3244,55.09,29,3,4.81,YE,1666815714
Ambrolauri,42.5211,43.1622,51.01,71,100,3.06,GE,1666815715
Monte Alegre,-2.0078,-54.0692,87.03,55,100,5.1,BR,1666815560
Seoul,37.5683,126.9778,49.44,100,47,3.44,KR,1666815609
Hofn,64.2539,-15.2082,42.46,85,100,15.12,IS,1666815715
Ancud,-41.8697,-73.8203,52.83,74,19,11.68,CL,1666815716
Vangaindrano,-23.35,47.6,70.99,94,76,6.87,MG,1666815716
Ilhéus,-14.7889,-39.0494,78.62,89,75,12.66,BR,1666815716
Raudeberg,61.9875,5.1352,51.87,58,100,12.41,NO,1666815717
Omboué,-1.5746,9.2618,77.68,92,99,4.63,GA,1666815717
Altay,47.8667,88.1167,40.57,54,100,2.53,CN,1666815717
San Jerónimo,-11.9472,-75.2829,67.06,43,39,7.49,PE,1666815718
Mundo Nuevo (Ojo de Agua),18.7,-95.5,79.18,77,42,10.09,MX,1666815718
Fuxin,42.0156,121.6589,38.23,40,0,6.22,CN,1666815719
Santa Marta,11.2408,-74.199,82.49,76,100,8.28,CO,1666815719
Selenginsk,52.0064,106.8647,18.01,49,0,8.43,RU,1666815719
Al Bardīyah,31.7561,25.0865,70.57,78,0,5.61,LY,1666815780
Kemijärvi,66.7131,27.4306,28.74,94,91,3.85,FI,1666815781
Ol'ga,43.7444,135.2892,43.34,81,100,4.34,RU,1666815781
Ipixuna,-1.7625,-48.8043,84.0,66,100,0.89,BR,1666815781
Padang,-0.9492,100.3543,75.56,91,100,2.26,ID,1666815610
College,64.8569,-147.8028,19.35,74,75,10.36,US,1666815782
Kungurtug,50.5994,97.5228,18.59,74,45,1.57,RU,1666815729
Rio Verde de Mato Grosso,-18.9181,-54.8442,92.93,33,49,6.17,BR,1666815783
Calvinia,-31.4707,19.776,66.2,26,3,2.21,ZA,1666815783
Pryazha,61.6926,33.6216,34.83,99,100,5.5,RU,1666815784
Port Shepstone,-30.7414,30.455,68.25,76,100,4.65,ZA,1666815784
Trelew,-43.249,-65.3051,73.67,19,4,13.2,AR,1666815785
Governador Valadares,-18.8511,-41.9494,82.4,52,51,5.28,BR,1666815594
Miracema do Tocantins,-9.5618,-48.3967,84.42,57,57,4.47,BR,1666815785
Neiafu,-18.65,-173.9833,75.88,83,75,2.3,TO,1666815786
Rāvar,31.2656,56.8055,67.21,28,4,3.04,IR,1666815786
Minna,9.6139,6.5569,82.11,78,0,3.44,NG,1666815698
Makakilo City,21.3469,-158.0858,80.69,79,75,13.8,US,1666815808
San Ramon,37.7799,-121.978,69.33,48,0,12.66,US,1666815761
São José da Coroa Grande,-8.8978,-35.1478,78.82,74,90,11.95,BR,1666815809
Kokkola,63.8385,23.1307,41.94,94,100,1.14,FI,1666815809
Xining,36.6167,101.7667,43.38,79,64,1.79,CN,1666815651
Shelburne,44.0787,-80.2041,55.24,96,100,14.0,CA,1666815610
Valdivia,-39.8142,-73.2459,62.69,57,8,7.25,CL,1666815810
Rassvet,46.8333,40.75,51.89,67,100,16.42,RU,1666815810
Ndélé,8.4109,20.6473,76.37,56,93,3.65,CF,1666815811
Paamiut,61.994,-49.6678,35.38,91,100,23.55,GL,1666815811
Helong,42.5397,128.9972,38.86,84,53,5.39,CN,1666815811
Kaeo,-35.1,173.7833,65.32,84,100,4.74,NZ,1666815812
Tura,25.5198,90.2201,65.25,81,1,2.19,IN,1666815812
Palāsa,18.7667,84.4167,75.04,77,68,2.75,IN,1666815812
Atikokan,48.7555,-91.6216,39.36,48,98,9.31,CA,1666815813
High Rock,26.6208,-78.2833,78.82,56,0,8.14,BS,1666815813
Novikovo,51.1537,37.8879,49.24,95,100,12.12,RU,1666815814
Zaria,11.1113,7.7227,74.91,32,3,7.72,NG,1666815814
Sabak,3.7675,100.9875,74.17,97,100,4.03,MY,1666815814
Margate,51.3813,1.3862,62.91,90,76,1.01,GB,1666815815
Bedēsa,8.9,40.7833,65.95,70,85,2.57,ET,1666815815
Shuiji,27.4214,118.345,59.49,81,8,2.01,CN,1666815815
Visnes,59.3556,5.2242,56.21,94,100,19.57,NO,1666815816
San Miguel de Tucumán,-26.8241,-65.2226,89.6,19,0,10.36,AR,1666815816
Morondava,-20.2833,44.2833,78.31,81,0,7.94,MG,1666815817
Pitimbu,-7.4706,-34.8086,82.99,71,66,9.51,BR,1666815817
Sovetskiy,61.3614,63.5842,27.18,80,6,4.76,RU,1666815818
Bosobolo,4.1833,19.9,72.1,95,60,2.91,CD,1666815818
Taitung City,22.7583,121.1444,72.46,78,74,7.49,TW,1666815818
Hobyo,5.3505,48.5268,79.56,81,26,9.82,SO,1666815819
Aytos,42.7,27.25,58.42,78,99,2.26,BG,1666815879
Namie,37.4833,141.0,46.98,73,0,5.21,JP,1666815880
Mobaye,4.319,21.1786,71.89,95,94,1.97,CF,1666815880
Lashio,22.9333,97.75,64.87,99,95,0.63,MM,1666815881
Ngunguru,-35.6167,174.5,60.06,71,100,7.74,NZ,1666815881
Kashan,33.9831,51.4364,62.19,33,0,0.0,IR,1666815881
Tonantins,-2.8731,-67.8022,85.05,70,100,1.57,BR,1666815882
Puerto Palomas,31.7667,-107.6167,70.54,24,0,9.33,MX,1666815883
Mandera,3.9366,41.867,84.69,56,60,12.46,KE,1666815883
Umluj,25.0213,37.2685,79.18,63,66,11.45,SA,1666815885
Victoria Point,-27.5833,153.3,71.91,86,42,1.99,AU,1666815885
Vostok,46.4856,135.8833,37.29,85,100,4.52,RU,1666815886
Aljezur,37.3191,-8.8033,67.64,88,100,4.45,PT,1666815886
Osypenko,46.9136,36.8253,55.33,85,97,10.98,UA,1666815886
Zyryanka,65.75,150.85,18.01,87,100,8.1,RU,1666815887
Merauke,-8.4667,140.3333,79.77,80,91,6.67,ID,1666815887
Rock Sound,24.9,-76.2,79.34,70,7,7.65,BS,1666815888
Okahandja,-21.9833,16.9167,80.11,18,0,9.1,NA,1666815888
Le Creusot,46.8071,4.4163,58.68,88,16,3.76,FR,1666815888
White Oak,39.2131,-84.5994,52.11,81,100,14.97,US,1666815889
Sackville,45.9188,-64.3846,66.78,85,77,5.66,CA,1666815753
Pacific Grove,36.6177,-121.9166,69.21,62,0,10.36,US,1666815889
Saint-François,46.4154,3.9054,60.24,82,0,2.3,FR,1666815890
Krasne,49.9145,24.6134,48.72,90,2,4.36,UA,1666815890
Akhmīm,26.5622,31.745,74.21,48,0,7.47,EG,1666815890
Mayskiy,47.6931,40.1025,51.21,85,100,15.9,RU,1666815891
Tsiroanomandidy,-18.7667,46.0333,72.81,67,100,5.95,MG,1666815891
Bell Ville,-32.6259,-62.6887,78.67,25,0,16.64,AR,1666815891
Verkhnevilyuysk,63.4453,120.3167,28.6,92,100,9.62,RU,1666815892
Chapais,49.7834,-74.8492,65.98,68,98,11.18,CA,1666815892
Biak,-0.9131,122.8766,76.44,81,100,1.48,ID,1666815892
Itarema,-2.9248,-39.9167,80.87,68,97,16.11,BR,1666815893
Balabac,7.9868,117.0645,80.33,82,100,4.9,PH,1666815893
Olenegorsk,68.15,33.3,27.72,98,100,1.74,RU,1666815894
Port Hardy,50.6996,-127.4199,46.58,93,100,8.05,CA,1666815894
Belitsa,41.9569,23.5725,52.52,68,15,3.2,BG,1666815894
Jalu,29.0331,21.5482,71.64,44,2,5.88,LY,1666815895
Takaungu,-3.6837,39.8566,76.6,92,100,9.6,KE,1666815895
Aklavik,68.2191,-135.0107,17.6,93,100,5.75,CA,1666815895
Huarmey,-10.0681,-78.1522,68.04,69,0,10.45,PE,1666815896
Semikarakorsk,47.5194,40.8112,49.03,80,100,15.03,RU,1666815897
Veinticinco de Mayo,-35.4323,-60.1727,71.98,57,52,8.01,AR,1666815897
Caucaia,-3.7361,-38.6531,82.35,74,0,10.36,BR,1666815897
Kikwit,-5.041,18.8162,70.45,93,100,1.66,CD,1666815958
Dwārka,22.2394,68.9678,79.39,69,0,8.61,IN,1666815958
Port Keats,-14.25,129.55,82.83,75,34,7.49,AU,1666815959
Keffi,8.8486,7.8736,77.61,68,20,2.15,NG,1666815959
Suntar,62.1444,117.6319,31.33,74,100,10.25,RU,1666815960
Bilma,18.6853,12.9164,75.27,19,0,5.79,NE,1666815960
Alquízar,22.8058,-82.5842,86.58,56,21,4.23,CU,1666815960
Kysyl-Syr,63.8986,122.7617,27.19,96,100,9.37,RU,1666815961
Comodoro Rivadavia,-45.8667,-67.5,69.66,17,0,29.93,AR,1666815961
Chui,-33.6971,-53.4616,65.01,94,100,9.33,UY,1666815936
Businga,3.3333,20.8833,73.4,93,64,0.45,CD,1666815962
Puerto Carreño,6.189,-67.4859,91.38,58,20,4.61,CO,1666815962
Norfolk,42.1668,-71.2495,69.4,97,100,3.44,US,1666815963
Vredendal,-31.6683,18.5012,62.53,61,0,6.62,ZA,1666815963
Bathsheba,13.2167,-59.5167,86.61,70,20,17.27,BB,1666815964
Altona,53.55,9.9333,58.06,92,20,6.91,DE,1666815964
Nuevo Progreso,23.1667,-97.95,81.54,56,6,8.12,MX,1666815965
Beisfjord,68.3751,17.5988,40.05,96,85,2.46,NO,1666815966
Dawei,14.0833,98.2,75.56,91,98,3.91,MM,1666815966
Alberdi,-32.8899,-60.6906,79.07,36,0,18.41,AR,1666815966
Hamada,34.8833,132.0833,55.27,68,100,4.74,JP,1666815918
Yerbogachën,61.2767,108.0108,25.45,83,97,7.54,RU,1666815967
Oneonta,42.4529,-75.0638,69.1,99,100,9.4,US,1666815870
Lüderitz,-26.6481,15.1594,60.57,82,0,8.77,NA,1666815968
Skibbereen,51.55,-9.2667,58.1,87,42,18.28,IE,1666815968
Ketchikan,55.3422,-131.6461,52.27,82,100,11.5,US,1666815968
Shizunai-furukawachō,42.3339,142.3669,44.26,69,0,4.07,JP,1666815822
Krasnyy Chikoy,50.3643,108.7512,19.65,49,25,3.6,RU,1666815969
Kasongo-Lunda,-6.4667,16.8167,71.4,97,100,1.97,CD,1666815970
Cerrito,6.8432,-72.694,57.4,94,97,2.62,CO,1666815970
Libreville,0.3925,9.4537,79.12,85,100,5.23,GA,1666815971
Golden,39.7555,-105.2211,59.2,39,75,11.5,US,1666815971
Sechura,-5.5569,-80.8222,74.8,60,28,14.94,PE,1666815972
Shahr-e Bābak,30.1165,55.1186,63.39,19,95,5.84,IR,1666815972
Ekibastuz,51.6667,75.3667,44.42,85,100,13.73,KZ,1666815974
Havelock,34.8791,-76.9013,76.96,77,75,13.8,US,1666815975
Logan,41.7355,-111.8344,43.2,77,100,4.61,US,1666815976
Tezu,27.9167,96.1667,66.22,91,20,3.33,IN,1666815976
Camacha,33.0833,-16.3333,69.22,78,75,6.91,PT,1666815977
Basco,20.4487,121.9702,79.84,66,100,23.24,PH,1666815978
Toamasina,-18.1667,49.3833,73.4,83,40,4.61,MG,1666815978
Flin Flon,54.7682,-101.865,35.44,60,40,11.5,CA,1666815979
Tandil,-37.3217,-59.1332,62.98,76,100,14.7,AR,1666815980
Shenjiamen,29.9576,122.298,64.6,90,100,10.25,CN,1666815981
Hirara,24.8,125.2833,76.77,65,67,13.42,JP,1666815981
Kutum,14.2,24.6667,71.94,22,8,7.07,SD,1666816042
Marawi,7.9986,124.2928,69.4,94,100,2.01,PH,1666816042
Chicla,-11.705,-76.2686,53.06,40,40,15.43,PE,1666816043
Atasū,48.6814,71.6433,37.58,55,83,26.13,KZ,1666816043
Portland,45.5234,-122.6762,56.77,83,75,7.0,US,1666815868
Mazagão,-0.115,-51.2894,89.65,62,100,5.19,BR,1666816044
Dingcheng,32.1272,115.0394,57.06,86,100,7.4,CN,1666816044
Nguru,12.8791,10.4526,81.72,20,1,9.31,NG,1666816045
Pritomskiy,53.7724,87.6082,31.8,65,100,4.0,RU,1666816046
Baturaja,-4.1333,104.1667,72.84,94,100,1.39,ID,1666816047
Turukhansk,65.8167,87.9833,-1.21,100,71,3.83,RU,1666816047
Nouadhibou,20.931,-17.0347,70.72,85,3,19.86,MR,1666816047
Bartica,6.4,-58.6167,86.32,96,100,3.22,GY,1666816048
La Ronge,55.1001,-105.2842,37.65,70,100,12.66,CA,1666816048
Yüksekova,37.5736,44.2872,46.15,81,75,2.3,TR,1666816049
Vrangel',42.7297,133.0839,53.01,89,100,6.78,RU,1666816049
Beira,-19.8436,34.8389,78.89,89,40,11.5,MZ,1666816049
Khasan,42.4308,130.6434,49.89,63,100,19.98,RU,1666816050
Tabas,33.5959,56.9244,69.57,37,0,5.3,IR,1666816050
Sheksna,59.21,38.5107,37.36,85,100,13.98,RU,1666816050
Mataquescuintla,14.5292,-90.1842,69.75,79,96,2.64,GT,1666816051
Ganzhou,28.8184,115.4327,61.0,77,98,6.71,CN,1666816051
Kuusamo,65.9667,29.1833,32.04,100,100,3.44,FI,1666816052
Kānke,23.4333,85.3167,69.82,68,0,0.0,IN,1666816052
San Andrés,12.5847,-81.7006,87.82,66,40,8.05,CO,1666816052
Pasni,25.2631,63.471,83.3,49,0,7.54,PK,1666816053
Richards Bay,-28.783,32.0377,68.18,79,56,4.25,ZA,1666816053
Malé,4.1748,73.5089,82.35,83,40,9.22,MV,1666816054
Enid,36.3956,-97.8784,68.16,34,0,13.8,US,1666815852
Qeshm,26.9581,56.2719,75.09,59,0,3.62,IR,1666816054
Conakry,9.538,-13.6773,82.24,83,2,8.37,GN,1666816054
Parrsboro,45.4001,-64.332,66.99,87,99,7.0,CA,1666816055
Taoudenni,22.6783,-3.9836,85.6,11,87,11.7,ML,1666816055
Rurrenabaque,-14.4413,-67.5278,93.09,62,75,6.91,BO,1666816055
Ust-Maya,60.4167,134.5333,7.07,100,85,2.86,RU,1666816056
Antalaha,-14.9003,50.2788,69.46,82,100,4.9,MG,1666816056
Laichingen,48.4894,9.6861,51.6,100,22,3.49,DE,1666816057
Lima,-12.0432,-77.0282,62.85,68,75,10.36,PE,1666815905
Mahon,39.8885,4.2658,70.36,94,20,4.61,ES,1666815846
Konakovo,56.7,36.7667,35.8,79,100,5.53,RU,1666816057
Sittwe,20.15,92.9,73.44,82,77,7.81,MM,1666816058
Kloulklubed,7.0419,134.2556,78.64,92,100,21.36,PW,1666816058
Roald,62.5833,6.1333,53.76,87,40,10.36,NO,1666816059
Rio Branco do Sul,-25.19,-49.3142,81.25,42,0,1.61,BR,1666816059
Luba,3.4568,8.5547,80.49,85,100,5.06,GQ,1666816059
Mount Isa,-20.7333,139.5,71.37,88,85,6.91,AU,1666816060
Pinawa,50.1489,-95.8811,38.79,53,98,4.85,CA,1666816060
Bud,39.447,-86.1758,55.89,67,0,14.27,US,1666816121
